gene	data size	good data	mbio Call	ctrl mean	exp mean	log2FC	logFC_5_neg	logFC_10_neg	logFC_5_pos	logFC_10_pos	logFC_5_str	logFC_10_str	obs-value	norm-obs	p-value	adj. pval
Negative143	10	10	N/A	2468.57	2251.53	-0.133	-0.060	-0.133	-0.039	-0.133	-0.057	-0.133	37.81	0.01531182	0.9343500000	1.0000000000
Negative144	10	10	N/A	1355.60	1384.68	0.031	-0.074	0.031	0.115	0.031	0.076	0.031	-65.64	-0.04778909	0.9875500000	1.0000000000
Negative145	10	10	N/A	844.22	910.36	0.109	-0.224	0.109	0.071	0.109	-0.069	0.109	-6.53	-0.00432054	0.9365500000	1.0000000000
Negative146	10	10	N/A	1634.97	1607.96	-0.024	-0.163	-0.024	-0.007	-0.024	0.074	-0.024	48.42	0.02607449	0.9684000000	1.0000000000
Negative147	10	10	N/A	1437.43	1501.17	0.063	-0.071	0.063	0.133	0.063	0.046	0.063	-62.19	-0.05100594	0.7188500000	1.0000000000
Negative148	10	8	N/A	1371.09	1394.36	0.024	0.043	0.024	0.032	0.024	0.045	0.024	-77.11	-0.15955924	0.5461500000	1.0000000000
Negative149	10	9	N/A	962.23	892.26	-0.109	-0.081	-0.109	0.118	-0.109	0.008	-0.109	-69.05	-0.07181339	0.8564500000	1.0000000000
Negative15	10	10	N/A	1063.69	1100.01	0.048	-0.031	0.048	0.283	0.048	-0.123	0.048	38.75	0.03310094	0.9375000000	1.0000000000
Negative150	10	10	N/A	932.61	849.48	-0.135	-0.168	-0.135	0.030	-0.135	-0.024	-0.135	18.12	0.02067487	0.8942000000	1.0000000000
Negative151	10	9	N/A	1216.41	1332.44	0.131	-0.186	0.131	0.131	0.131	0.131	0.131	40.11	0.02134990	0.7202500000	1.0000000000
Negative152	10	9	N/A	1116.71	1076.66	-0.053	-0.081	-0.053	0.202	-0.053	-0.081	-0.053	-2.16	-0.00487489	0.9626000000	1.0000000000
Negative153	10	10	N/A	1729.68	1714.97	-0.012	0.007	-0.012	0.076	-0.012	0.081	-0.012	-7.24	-0.00424256	0.9833000000	1.0000000000
Negative154	10	10	N/A	1342.67	1324.30	-0.020	0.056	-0.020	-0.121	-0.020	0.056	-0.020	118.26	0.10209854	0.7613000000	1.0000000000
Negative155	10	10	N/A	839.43	826.70	-0.022	-0.064	-0.022	-0.107	-0.022	-0.064	-0.022	30.01	0.03562255	0.8943000000	1.0000000000
Negative156	10	10	N/A	1111.11	1109.37	-0.002	-0.265	-0.002	0.094	-0.002	0.150	-0.002	-85.26	-0.09247521	0.7153500000	1.0000000000
Negative157	10	10	N/A	1250.47	1343.52	0.104	0.017	0.104	0.255	0.104	-0.064	0.104	-127.53	-0.07532533	0.8028500000	1.0000000000
Negative158	10	10	N/A	1240.60	1411.70	0.186	0.098	0.186	0.191	0.186	-0.029	0.186	-9.02	-0.01531568	0.8825000000	1.0000000000
Negative159	10	10	N/A	627.75	565.28	-0.151	-0.169	-0.151	0.236	-0.151	0.236	-0.151	43.45	0.08462552	0.8842500000	1.0000000000
Negative16	10	9	N/A	1010.65	957.69	-0.078	-0.173	-0.078	0.036	-0.078	-0.173	-0.078	8.35	0.00764419	0.9614500000	1.0000000000
Negative160	10	10	N/A	1966.83	2079.50	0.080	-0.030	0.080	0.252	0.080	0.300	0.080	-230.77	-0.10703767	0.8162000000	1.0000000000
Negative161	10	9	N/A	1331.39	1362.05	0.033	-0.152	0.033	0.455	0.033	-0.276	0.033	15.30	0.01742049	0.8025000000	1.0000000000
Negative162	10	10	N/A	1596.82	1610.72	0.013	-0.111	0.013	-0.022	0.013	-0.225	0.013	-36.02	-0.02837607	0.7671500000	1.0000000000
Negative163	10	9	N/A	1731.71	1793.05	0.050	0.050	0.050	0.050	0.050	-0.189	0.050	3.21	0.00146011	0.9422000000	1.0000000000
Negative164	10	10	N/A	693.32	777.93	0.166	-0.004	0.166	0.275	0.166	0.125	0.166	24.24	0.03484762	0.8344000000	1.0000000000
Negative165	10	10	N/A	1307.18	1263.96	-0.049	-0.086	-0.049	-0.021	-0.049	-0.089	-0.049	-33.32	-0.02382797	0.9698500000	1.0000000000
Negative166	10	10	N/A	896.96	885.43	-0.019	-0.062	-0.019	0.142	-0.019	0.023	-0.019	-103.31	-0.17636317	0.7528000000	1.0000000000
Negative167	10	10	N/A	918.19	983.95	0.100	-0.103	0.100	0.118	0.100	0.058	0.100	67.34	0.10717028	0.5778000000	1.0000000000
Negative168	10	8	N/A	993.30	1032.90	0.056	0.204	0.056	0.000	0.056	0.082	0.056	71.81	0.05830740	0.9458000000	1.0000000000
Negative169	10	10	N/A	2198.92	2157.74	-0.027	-0.268	-0.027	0.022	-0.027	0.070	-0.027	22.36	0.02141207	0.9012000000	1.0000000000
Negative17	10	10	N/A	2013.58	1954.69	-0.043	-0.077	-0.043	0.045	-0.043	0.029	-0.043	97.93	0.07018939	0.2546500000	1.0000000000
Negative170	10	8	N/A	1987.66	1837.95	-0.113	-0.080	-0.113	0.020	-0.113	-0.127	-0.113	81.04	0.03695068	0.6786500000	1.0000000000
Negative171	10	9	N/A	1351.38	1261.06	-0.100	-0.182	-0.100	0.153	-0.100	-0.226	-0.100	-40.56	-0.03085170	0.9220000000	1.0000000000
Negative172	10	10	N/A	1626.09	1492.50	-0.124	-0.124	-0.124	-0.067	-0.124	-0.264	-0.124	1.54	0.00107899	0.9656500000	1.0000000000
Negative173	10	10	N/A	1619.86	1604.04	-0.014	0.000	-0.014	-0.026	-0.014	0.101	-0.014	90.73	0.05855483	0.9190000000	1.0000000000
Negative174	10	10	N/A	1387.84	1263.88	-0.135	-0.181	-0.135	-0.119	-0.135	-0.093	-0.135	47.05	0.03952075	0.9347000000	1.0000000000
Negative175	10	9	N/A	1040.90	1076.72	0.049	-0.040	0.049	0.084	0.049	0.084	0.049	-46.23	-0.04278263	0.8322500000	1.0000000000
Negative18	10	10	N/A	1651.06	1737.73	0.074	-0.222	0.074	0.149	0.074	0.117	0.074	59.23	0.03312769	0.6308500000	1.0000000000
Negative19	10	10	N/A	1874.27	1686.05	-0.153	-0.211	-0.153	0.049	-0.153	-0.131	-0.153	-111.09	-0.05947480	0.9880500000	1.0000000000
Negative2	10	9	N/A	1125.13	1087.49	-0.049	-0.137	-0.049	0.028	-0.049	-0.098	-0.049	-103.30	-0.14421026	0.7546500000	1.0000000000
Negative20	10	10	N/A	1732.58	1776.59	0.036	-0.103	0.036	-0.136	0.036	-0.085	0.036	80.39	0.03388500	0.8695000000	1.0000000000
Negative21	10	10	N/A	1327.29	1508.15	0.184	-0.106	0.184	0.225	0.184	0.225	0.184	-66.56	-0.05065944	0.7650000000	1.0000000000
Negative22	10	9	N/A	1131.68	1205.93	0.092	-0.114	0.092	0.002	0.092	0.236	0.092	-17.82	-0.01768035	0.9632500000	1.0000000000
Negative23	10	9	N/A	1913.78	1838.05	-0.058	-0.161	-0.058	0.168	-0.058	-0.137	-0.058	-5.05	-0.00546874	0.9857500000	1.0000000000
Negative24	10	10	N/A	876.76	856.57	-0.034	0.058	-0.034	-0.042	-0.034	-0.163	-0.034	55.91	0.06513149	0.8497500000	1.0000000000
Negative25	10	10	N/A	1212.96	1194.40	-0.022	-0.055	-0.022	0.082	-0.022	0.082	-0.022	28.59	0.02538381	0.6230000000	1.0000000000
Negative26	10	10	N/A	907.77	1099.01	0.276	0.066	0.276	0.174	0.276	0.071	0.276	133.51	0.12232905	0.2900500000	1.0000000000
Negative27	10	10	N/A	1476.81	1493.24	0.016	-0.049	0.016	0.066	0.016	-0.026	0.016	-32.65	-0.01777243	0.9010000000	1.0000000000
Negative28	10	9	N/A	778.47	786.63	0.015	-0.160	0.015	0.056	0.015	0.054	0.015	13.02	0.04617331	0.6078500000	1.0000000000
Negative29	10	9	N/A	1706.60	1668.92	-0.032	-0.152	-0.032	0.047	-0.032	-0.032	-0.032	-63.10	-0.02433736	0.5572500000	1.0000000000
Negative3	10	9	N/A	1131.68	1114.41	-0.022	0.083	-0.022	-0.025	-0.022	-0.022	-0.022	-108.89	-0.08089809	0.8411500000	1.0000000000
Negative30	10	10	N/A	1644.41	1546.41	-0.089	0.003	-0.089	0.094	-0.089	-0.027	-0.089	-11.90	-0.00680567	0.8387000000	1.0000000000
Negative31	10	10	N/A	1255.74	1266.70	0.013	-0.166	0.013	0.118	0.013	0.132	0.013	16.29	0.01815025	0.8862500000	1.0000000000
Negative32	10	9	N/A	991.33	1076.66	0.119	-0.241	0.119	-0.055	0.119	0.018	0.119	-62.80	-0.07574304	0.5106500000	1.0000000000
Negative33	10	10	N/A	1021.74	1032.29	0.015	0.040	0.015	0.174	0.015	0.174	0.015	-82.05	-0.13021524	0.5554000000	1.0000000000
Negative34	10	10	N/A	1274.83	1393.14	0.128	-0.092	0.128	-0.013	0.128	-0.013	0.128	38.07	0.02621122	0.8637000000	1.0000000000
Negative35	10	10	N/A	709.06	764.47	0.109	-0.256	0.109	0.146	0.109	-0.256	0.109	-10.22	-0.01465270	0.8633000000	1.0000000000
Negative36	10	10	N/A	719.16	847.92	0.238	-0.142	0.238	0.233	0.238	-0.142	0.238	48.77	0.05126700	0.5744500000	1.0000000000
Negative37	10	10	N/A	768.75	776.96	0.015	-0.029	0.015	0.061	0.015	0.228	0.015	53.76	0.06908950	0.9025500000	1.0000000000
Negative38	10	10	N/A	1724.18	1567.47	-0.137	-0.327	-0.137	-0.055	-0.137	-0.204	-0.137	1.20	0.00079193	0.9921000000	1.0000000000
Negative39	10	9	N/A	1290.69	1237.78	-0.060	-0.092	-0.060	-0.060	-0.060	-0.043	-0.060	78.56	0.05799923	0.8037000000	1.0000000000
Negative4	10	10	N/A	1079.77	1047.67	-0.044	-0.133	-0.044	0.239	-0.044	0.251	-0.044	39.58	0.04391595	0.6721000000	1.0000000000
Negative40	10	9	N/A	1488.94	1474.93	-0.014	-0.003	-0.014	0.069	-0.014	0.217	-0.014	24.40	0.02216289	0.8855500000	1.0000000000
Negative41	10	10	N/A	1273.87	1274.15	0.000	-0.076	0.000	0.023	0.000	0.053	0.000	12.25	0.00811375	0.9236000000	1.0000000000
Negative42	10	10	N/A	1590.53	1740.16	0.130	-0.158	0.130	0.186	0.130	-0.054	0.130	-1.77	-0.00098082	0.9954000000	1.0000000000
Negative43	10	10	N/A	1222.46	1193.40	-0.035	-0.339	-0.035	-0.015	-0.035	-0.339	-0.035	44.26	0.03845032	0.6361000000	1.0000000000
Negative44	10	10	N/A	1398.25	1334.95	-0.067	-0.041	-0.067	0.096	-0.067	-0.301	-0.067	-54.74	-0.03760624	0.7994500000	1.0000000000
Negative45	10	10	N/A	1210.27	1222.39	0.014	-0.239	0.014	0.093	0.014	-0.085	0.014	6.10	0.00589701	0.9635000000	1.0000000000
Negative46	10	10	N/A	1126.03	1090.00	-0.047	-0.131	-0.047	0.053	-0.047	-0.189	-0.047	27.16	0.02464349	0.7021000000	1.0000000000
Negative47	10	10	N/A	2766.97	2773.44	0.003	-0.106	0.003	-0.020	0.003	-0.020	0.003	-11.44	-0.00426486	0.9632000000	1.0000000000
Negative48	10	9	N/A	1392.72	1344.33	-0.051	-0.214	-0.051	0.003	-0.051	0.003	-0.051	-222.23	-0.26802443	0.2717500000	1.0000000000
Negative49	10	10	N/A	1013.61	934.12	-0.118	-0.328	-0.118	-0.223	-0.118	-0.131	-0.118	40.93	0.02935710	0.8767500000	1.0000000000
Negative5	10	10	N/A	1854.87	1772.62	-0.065	-0.119	-0.065	0.058	-0.065	0.106	-0.065	-19.34	-0.00892937	0.9339500000	1.0000000000
Negative50	10	10	N/A	1519.67	1581.97	0.058	-0.071	0.058	0.148	0.058	0.055	0.058	-63.90	-0.05015904	0.8613500000	1.0000000000
Negative51	10	9	N/A	1213.81	1220.43	0.008	-0.048	0.008	0.400	0.008	-0.021	0.008	108.00	0.08338625	0.7446000000	1.0000000000
Negative52	10	9	N/A	2010.88	1679.69	-0.260	-0.161	-0.260	0.120	-0.260	-0.260	-0.260	15.31	0.00786990	0.9791000000	1.0000000000
Negative53	10	8	N/A	1053.41	1044.44	-0.012	-0.091	-0.012	0.046	-0.012	0.026	-0.012	-40.68	-0.05473857	0.7136000000	1.0000000000
Negative54	10	10	N/A	1291.79	1296.18	0.005	-0.065	0.005	0.041	0.005	-0.065	0.005	-53.04	-0.06395857	0.5243500000	1.0000000000
Negative55	10	9	N/A	986.44	990.59	0.006	-0.182	0.006	0.155	0.006	0.256	0.006	88.71	0.13625393	0.7859000000	1.0000000000
Negative56	10	10	N/A	2529.64	2429.65	-0.058	-0.141	-0.058	0.057	-0.058	0.057	-0.058	84.45	0.04763498	0.8609500000	1.0000000000
Negative57	10	10	N/A	1117.88	1154.45	0.046	-0.248	0.046	0.088	0.046	0.044	0.046	-75.46	-0.07742997	0.7866500000	1.0000000000
Negative58	10	10	N/A	2036.26	1838.69	-0.147	-0.327	-0.147	0.115	-0.147	-0.032	-0.147	-165.32	-0.11462676	0.2850500000	1.0000000000
Negative59	10	10	N/A	1186.08	1173.01	-0.016	-0.125	-0.016	0.005	-0.016	-0.170	-0.016	39.13	0.05007156	0.8590000000	1.0000000000
Negative6	10	10	N/A	1561.77	1518.61	-0.040	-0.080	-0.040	0.230	-0.040	-0.080	-0.040	147.55	0.08869034	0.2653000000	1.0000000000
Negative60	10	10	N/A	1671.34	1683.39	0.010	-0.088	0.010	0.128	0.010	0.071	0.010	138.19	0.10423798	0.3537500000	1.0000000000
Negative61	10	10	N/A	1126.94	1189.07	0.077	-0.013	0.077	0.249	0.077	-0.013	0.077	46.93	0.02825493	0.8667500000	1.0000000000
Negative62	10	10	N/A	1705.41	1795.71	0.074	-0.082	0.074	0.153	0.074	0.153	0.074	-48.72	-0.03783229	0.7724000000	1.0000000000
Negative63	10	9	N/A	906.31	1023.77	0.176	0.104	0.176	0.240	0.176	0.131	0.176	51.57	0.05202992	0.8187500000	1.0000000000
Negative64	10	10	N/A	949.76	932.07	-0.027	-0.249	-0.027	-0.114	-0.027	0.030	-0.027	-24.40	-0.02823550	0.6251500000	1.0000000000
Negative65	10	10	N/A	1188.76	1266.23	0.091	-0.142	0.091	0.184	0.091	-0.107	0.091	-46.67	-0.02835330	0.9018500000	1.0000000000
Negative66	10	10	N/A	1429.21	1430.65	0.001	-0.050	0.001	0.123	0.001	-0.000	0.001	25.13	0.01768240	0.8056000000	1.0000000000
Negative67	10	10	N/A	2212.48	2369.83	0.099	-0.090	0.099	0.104	0.099	0.198	0.099	-136.17	-0.07418835	0.6899000000	1.0000000000
Negative68	10	10	N/A	2079.70	2322.29	0.159	-0.129	0.159	0.035	0.159	-0.099	0.159	11.13	0.00490122	0.9665500000	1.0000000000
Negative69	10	10	N/A	1204.19	1109.02	-0.119	-0.008	-0.119	0.145	-0.119	-0.008	-0.119	14.15	0.01065128	0.5584000000	1.0000000000
Negative7	10	10	N/A	1261.79	1252.23	-0.011	-0.054	-0.011	0.031	-0.011	-0.038	-0.011	-92.77	-0.09484886	0.9878500000	1.0000000000
Negative70	10	9	N/A	1131.68	1318.76	0.221	0.030	0.221	0.221	0.221	0.190	0.221	-37.08	-0.02725015	0.9602500000	1.0000000000
Negative71	10	10	N/A	1350.15	1328.68	-0.023	-0.018	-0.023	0.163	-0.023	0.054	-0.023	-28.81	-0.02499520	0.9068000000	1.0000000000
Negative72	10	10	N/A	2141.00	2059.12	-0.056	-0.143	-0.056	-0.018	-0.056	0.021	-0.056	25.14	0.01164130	0.9690500000	1.0000000000
Negative73	10	10	N/A	1752.80	1811.42	0.047	-0.034	0.047	0.011	0.047	-0.106	0.047	46.83	0.04104055	0.8293500000	1.0000000000
Negative74	10	10	N/A	1927.20	2115.76	0.135	-0.282	0.135	0.220	0.135	0.032	0.135	129.39	0.07129407	0.7854000000	1.0000000000
Negative75	10	10	N/A	1506.18	1523.51	0.017	-0.080	0.017	0.179	0.017	-0.091	0.017	54.95	0.02303199	0.9157000000	1.0000000000
Negative76	10	10	N/A	1377.22	1269.60	-0.117	0.053	-0.117	0.031	-0.117	0.031	-0.117	153.90	0.14562537	0.6841000000	1.0000000000
Negative77	10	10	N/A	1053.01	1084.60	0.043	-0.060	0.043	0.225	0.043	0.224	0.043	106.81	0.08564071	0.4202000000	1.0000000000
Negative78	10	10	N/A	1094.56	1096.50	0.003	-0.223	0.003	0.066	0.003	-0.070	0.003	-105.50	-0.11461291	0.4526500000	1.0000000000
Negative79	10	10	N/A	1381.28	1389.10	0.008	-0.168	0.008	0.088	0.008	0.034	0.008	0.07	0.00004355	1.0000000000	1.0000000000
Negative8	10	10	N/A	801.94	706.43	-0.183	-0.344	-0.183	0.425	-0.183	-0.244	-0.183	44.69	0.05838560	0.7631500000	1.0000000000
Negative80	10	9	N/A	1108.62	922.00	-0.266	-0.266	-0.266	0.033	-0.266	0.033	-0.266	7.36	0.00682074	0.9597000000	1.0000000000
Negative81	10	10	N/A	1031.38	1059.41	0.039	-0.025	0.039	0.191	0.039	0.002	0.039	78.94	0.07161173	0.8201500000	1.0000000000
Negative82	10	10	N/A	931.23	978.51	0.071	-0.060	0.071	0.059	0.071	0.021	0.071	38.50	0.03166742	0.9876000000	1.0000000000
Negative83	10	10	N/A	1835.78	1748.05	-0.071	-0.034	-0.071	0.057	-0.071	-0.016	-0.071	-97.07	-0.05313885	0.9698500000	1.0000000000
Negative84	10	9	N/A	1982.66	2034.34	0.037	-0.147	0.037	0.062	0.037	0.109	0.037	-5.44	-0.00368433	0.9243000000	1.0000000000
Negative85	10	10	N/A	1325.47	1219.85	-0.120	-0.154	-0.120	0.126	-0.120	-0.154	-0.120	13.38	0.01194220	0.9054500000	1.0000000000
Negative86	10	10	N/A	763.26	783.40	0.038	-0.194	0.038	-0.136	0.038	0.132	0.038	8.14	0.00782261	0.9340500000	1.0000000000
Negative87	10	7	N/A	1228.52	1118.29	-0.136	0.074	-0.136	0.085	-0.136	-0.136	-0.136	98.77	0.09782847	0.7688000000	1.0000000000
Negative88	10	9	N/A	1954.72	1849.94	-0.079	0.003	-0.079	-0.079	-0.079	0.054	-0.079	61.53	0.04653332	0.6441000000	1.0000000000
Negative89	10	9	N/A	1954.24	2012.84	0.043	-0.018	0.043	0.055	0.043	0.088	0.043	106.88	0.06021901	0.9414500000	1.0000000000
Negative9	10	10	N/A	2464.04	2557.72	0.054	-0.238	0.054	0.140	0.054	-0.238	0.054	114.41	0.03790802	0.8691500000	1.0000000000
Negative90	10	9	N/A	890.13	904.15	0.023	0.025	0.023	0.091	0.023	0.067	0.023	76.20	0.16999929	0.6354000000	1.0000000000
Negative91	10	10	N/A	1123.00	1068.14	-0.072	-0.298	-0.072	-0.053	-0.072	-0.298	-0.072	84.81	0.09612498	0.4671000000	1.0000000000
Negative92	10	10	N/A	963.96	1142.40	0.245	-0.065	0.245	0.163	0.245	-0.002	0.245	-32.38	-0.01420457	0.9034500000	1.0000000000
